created_at,sentimental_value,sentiment_value_r,hashtags
Sun Mar 22 03:02:06 +0000 2020,0.6,1,jantacurfew coronavirus coronaextra coronadelmar gujarati news update vaccin america india hindi handwash cleaneating food drinks fever heart life
Sun Mar 22 04:21:18 +0000 2020,0.733333333,1,nan
Sun Mar 22 04:00:39 +0000 2020,-0.757142857,-1,nan
Sun Mar 22 04:09:10 +0000 2020,0,0,jantacurfew corona coronafight
Sun Mar 22 04:06:47 +0000 2020,-0.212121212,-1,jantacurfew quarantine covid19 corona whocansavetheworld prayersforcoronafreeworld indiafightscorona stayhomestaysafe
Sun Mar 22 04:15:30 +0000 2020,0.2,1,meme china sick coronavirus stupid covid19 covid19 virus quarantine irvine 3dmodeling prevention covid ranchocucamonga disease wuhan becareful
Sun Mar 22 04:08:43 +0000 2020,0,0,nan
Sun Mar 22 02:42:20 +0000 2020,-0.022222222,-1,friends corona besafe socialdistancing vzuptospeed
Sun Mar 22 04:15:07 +0000 2020,-0.1,-1,nan
Sun Mar 22 03:08:32 +0000 2020,0.15,1,corona socialdistancing jantacurfew
Sun Mar 22 04:18:19 +0000 2020,0.4,1,jantacurfew selfquarantine novelcoronavirus2020goaway gurgaondiaries corona lockdown
Sun Mar 22 04:24:06 +0000 2020,-0.066666667,-1,meme china sick coronavirus stupid covid19 covid19 virus quarantine irvine 3dmodeling prevention covid ranchocucamonga disease wuhan becareful
Sun Mar 22 02:45:23 +0000 2020,0.35,1,WeSupport JantaCurfew 22march
Sun Mar 22 01:54:45 +0000 2020,0,0,nan
Sun Mar 22 02:01:05 +0000 2020,0.25,1,Corona Virus Nature Italy Lockdown NoPollution
Sun Mar 22 04:55:34 +0000 2020,0.4,1,mumbai powai powailake covid19 corona silence pollutionfree pollution life
Sun Mar 22 05:09:57 +0000 2020,0.6,1,sunsetview view sunsetpics canonpics pointofview picoftheday pictures coi coi photographie harshvardhanrane vishaladityasingh corona
Sun Mar 22 06:51:01 +0000 2020,0,0,nan
Sun Mar 22 06:12:37 +0000 2020,0,0,life lifequotes lifelessons morning beautifullife yourquote quote stories qotd quoteoftheday wordporn quotestagram wordswag wordsofwisdom
